comparison,method,m,epoch,update,train_loss_step,train_acc_step,train_eval_loss,train_eval_acc,test_loss,test_acc,generalization_gap,elapsed_sec
same_epochs,m_sam,32,1,1563,1.9248522731781006,0.27706,1.7146726382064819,0.37582,1.7079475780487061,0.3768,-0.0009800000000000364,105.94695544242859
same_epochs,m_sam,32,2,3126,1.6614371076202392,0.38346,1.5819407162094117,0.4237,1.5789225471496582,0.4187,0.0050000000000000044,182.74340176582336
same_epochs,m_sam,32,3,4689,1.5412259426498414,0.4327,1.4545257123565674,0.4737,1.4461496612548828,0.4789,-0.005199999999999982,293.9144959449768
same_epochs,m_sam,32,4,6252,1.454541199645996,0.4684,1.440643736190796,0.4802,1.4398784530639648,0.4789,0.0013000000000000234,404.8186914920807
same_epochs,m_sam,32,5,7815,1.379958200263977,0.49832,1.3164600468063354,0.52562,1.3183343383789063,0.5238,0.0018199999999999328,486.18187737464905
same_epochs,m_sam,32,6,9378,1.3153801764678954,0.52214,1.2722729028701782,0.5378,1.276891771697998,0.5375,0.00029999999999996696,595.8646514415741
same_epochs,m_sam,32,7,10941,1.2552049003982544,0.55036,1.2325471701812745,0.56164,1.2403613250732421,0.5589,0.0027400000000000757,707.5235455036163
same_epochs,m_sam,32,8,12504,1.2072754504394532,0.56924,1.161444015235901,0.58666,1.1736478805541992,0.5852,0.0014599999999999058,787.3324625492096
same_epochs,m_sam,32,9,14067,1.1600482884979249,0.59002,1.09983498588562,0.61122,1.1109492805480956,0.6099,0.0013199999999999878,900.289849281311
same_epochs,m_sam,32,10,15630,1.1101296701431274,0.60822,1.0618129322052001,0.62194,1.0798513032913208,0.6152,0.006740000000000079,1012.1559693813324
same_epochs,m_sam,32,11,17193,1.0786798328018188,0.62068,1.027692429046631,0.6403,1.0482270492553711,0.636,0.0042999999999999705,1082.034865140915
same_epochs,m_sam,32,12,18756,1.0401471129989623,0.63562,1.0397767918777465,0.62442,1.0678840906143188,0.6189,0.005519999999999969,1202.2892282009125
same_epochs,m_sam,32,13,20319,1.010628063430786,0.64816,0.9857553519821167,0.65234,1.009372162246704,0.6439,0.008440000000000003,1312.3011252880096
same_epochs,m_sam,32,14,21882,0.9821218968582154,0.65668,0.9589832024002075,0.668,0.9878573027610779,0.6575,0.010500000000000065,1423.6168067455292
same_epochs,m_sam,32,15,23445,0.9549369729995728,0.66896,0.9250561763763427,0.67658,0.9539573101043701,0.6676,0.008979999999999988,1495.5455572605133
same_epochs,m_sam,32,16,25008,0.9352861895942688,0.67252,0.8970803952789307,0.68352,0.9305560447692871,0.6716,0.011920000000000042,1615.3764328956604
same_epochs,m_sam,32,17,26571,0.9157925984954834,0.68268,0.8914032476043701,0.68696,0.9289971788406373,0.6791,0.007859999999999978,1726.395353794098
same_epochs,m_sam,32,18,28134,0.8996756735229492,0.68688,0.8495847102355957,0.70244,0.8887678258895874,0.6912,0.011239999999999917,1796.6434817314148
same_epochs,m_sam,32,19,29697,0.8784647616577148,0.6949,0.869156604385376,0.70006,0.9095639476776123,0.6937,0.006360000000000032,1915.5204350948334
same_epochs,m_sam,32,20,31260,0.8622231522750855,0.70188,0.8516192538833618,0.70358,0.8950535009384155,0.6925,0.011079999999999979,2026.5550372600555
same_epochs,m_sam,32,21,32823,0.8454768028640747,0.70864,0.8421651817703247,0.70468,0.8900760688781738,0.6911,0.013579999999999925,2086.1720209121704
same_epochs,m_sam,32,22,34386,0.8352675192451477,0.71198,0.8297600407791138,0.71036,0.8774752053260804,0.6989,0.011460000000000026,2119.2790298461914
same_epochs,m_sam,32,23,35949,0.8166058228111267,0.71892,0.7785293539047241,0.72958,0.8298154653549195,0.7189,0.010680000000000023,2166.581741809845
same_epochs,m_sam,32,24,37512,0.8031408470344543,0.7224,0.7677588307380676,0.73722,0.82004088306427,0.7186,0.01861999999999997,2202.374838113785
same_epochs,m_sam,32,25,39075,0.7869195353317261,0.73236,0.7906552238845825,0.72838,0.8466507631301879,0.7106,0.017780000000000018,2277.178158521652
same_epochs,m_sam,32,26,40638,0.7783434866714477,0.7315,0.7534689260864258,0.736,0.8094881921768189,0.7211,0.014900000000000024,2389.300560951233
same_epochs,m_sam,32,27,42201,0.76630677069664,0.7373,0.7369655923271179,0.74314,0.7964633788108826,0.7264,0.016739999999999977,2468.9961338043213
same_epochs,m_sam,32,28,43764,0.7559892086219787,0.74016,0.7166730175590516,0.7544,0.7755308966636658,0.7381,0.01629999999999998,2578.047638654709
same_epochs,m_sam,32,29,45327,0.7452143098449707,0.74402,0.7159157085800171,0.75238,0.7795152160644532,0.7344,0.017979999999999996,2689.915190935135
same_epochs,m_sam,32,30,46890,0.7362458112335205,0.74648,0.7036825830459594,0.7579,0.7679533729553223,0.74,0.017900000000000027,2767.7978744506836
same_epochs,m_sam,32,31,48453,0.7249331754684448,0.75254,0.7145228164291382,0.74916,0.7783692908287049,0.7273,0.0218600000000001,2877.793197631836
same_epochs,m_sam,32,32,50016,0.7119977227592468,0.75844,0.6741397773742676,0.77208,0.7367781335830689,0.7482,0.023880000000000012,2992.6468544006348
same_epochs,m_sam,32,33,51579,0.7076203921318054,0.759,0.6923816363906861,0.76514,0.7574304294586182,0.7422,0.02294000000000007,3103.7369356155396
same_epochs,m_sam,32,34,53142,0.6966298467254639,0.76258,0.6790458013916015,0.76662,0.7457522338867187,0.7454,0.021220000000000017,3184.1930541992188
same_epochs,m_sam,32,35,54705,0.6849082145404816,0.76648,0.6712009103012085,0.77062,0.740736323928833,0.743,0.027619999999999978,3293.8978941440582
same_epochs,m_sam,32,36,56268,0.6795690516090394,0.7689,0.6375265015792847,0.7819,0.7089432330131531,0.7547,0.027200000000000002,3404.478378534317
same_epochs,m_sam,32,37,57831,0.6715658829498291,0.7712,0.641823878955841,0.78144,0.712798526763916,0.7562,0.02524000000000004,3483.551611661911
same_epochs,m_sam,32,38,59394,0.6617369537734985,0.7765,0.6466413847541809,0.77656,0.7245995120048523,0.7503,0.02626000000000006,3593.988514184952
same_epochs,m_sam,32,39,60957,0.6561916084289551,0.7774,0.6388467559051514,0.77758,0.7149201707839966,0.7497,0.027880000000000016,3704.0549862384796
same_epochs,m_sam,32,40,62520,0.6465838198471069,0.7798,0.6087263680648803,0.79542,0.6848700462341308,0.767,0.02842,3781.341717004776
same_epochs,m_sam,32,41,64083,0.6407989098072052,0.7818,0.5950783126831055,0.79728,0.6747844373703002,0.7688,0.02847999999999995,3892.7932510375977
same_epochs,m_sam,32,42,65646,0.6302199526882172,0.78694,0.6066367027282715,0.79116,0.6853593013763428,0.7642,0.026959999999999984,4003.6808319091797
same_epochs,m_sam,32,43,67209,0.6211782284164429,0.78966,0.6077894598197937,0.79378,0.6851621356010437,0.765,0.028780000000000028,4083.325525522232
same_epochs,m_sam,32,44,68772,0.6168845201301575,0.79148,0.5831503243637085,0.8017,0.6656748939990997,0.7697,0.03199999999999992,4194.950716972351
same_epochs,m_sam,32,45,70335,0.6098289252853394,0.79382,0.5718048571395874,0.80752,0.6566357511520385,0.7761,0.031420000000000003,4305.441853761673
same_epochs,m_sam,32,46,71898,0.6052095111465454,0.79658,0.5716379188156128,0.80866,0.655885417842865,0.7758,0.03286,4383.183006763458
same_epochs,m_sam,32,47,73461,0.5962735847663879,0.79984,0.5617784749603272,0.81224,0.6446719359397888,0.7776,0.034640000000000004,4492.721491098404
same_epochs,m_sam,32,48,75024,0.5927822154903412,0.80158,0.5458093860054016,0.817,0.6358115595817566,0.7825,0.034499999999999975,4605.913537979126
same_epochs,m_sam,32,49,76587,0.5868843020820618,0.80414,0.5759714060974122,0.80434,0.6652536222457885,0.7696,0.034740000000000104,4685.6697680950165
same_epochs,m_sam,32,50,78150,0.5784672761726379,0.80432,0.5348786521720886,0.8202,0.625438575553894,0.7865,0.03370000000000006,4796.844594240189
same_epochs,m_sam,32,51,79713,0.5724947434329987,0.80794,0.532973201713562,0.8205,0.6288302569389344,0.7828,0.037699999999999956,4910.22857093811
same_epochs,m_sam,32,52,81276,0.5684981767559052,0.809,0.523955998878479,0.82244,0.6178511284828186,0.7854,0.03703999999999996,4982.19188284874
same_epochs,m_sam,32,53,82839,0.5633648856925965,0.81076,0.5301911730194092,0.82462,0.6251149346351623,0.7833,0.04132000000000002,5100.583714008331
same_epochs,m_sam,32,54,84402,0.5596437935066223,0.81288,0.5157640285301208,0.83174,0.6063788963317871,0.7942,0.03754000000000002,5211.239108324051
same_epochs,m_sam,32,55,85965,0.55296527551651,0.815,0.5202995818138123,0.82878,0.615312522983551,0.7887,0.040080000000000005,5324.802006483078
same_epochs,m_sam,32,56,87528,0.5494882722282409,0.816,0.5186670432281494,0.82874,0.6171626490592956,0.7895,0.03924000000000005,5399.717408895493
same_epochs,m_sam,32,57,89091,0.5414443082904815,0.8194,0.5198631582069397,0.8249,0.6181542207717895,0.7839,0.040999999999999925,5514.191200256348
