comparison,method,m,epoch,update,train_loss_step,train_acc_step,train_eval_loss,train_eval_acc,test_loss,test_acc,generalization_gap,elapsed_sec
same_epochs,n_sam,,1,1,2.5342758110046386,0.09856,2.4061963261413575,0.08322,2.4046311946868895,0.085,-0.0017800000000000038,45.40304207801819
same_epochs,n_sam,,2,2,2.4059699108123778,0.0866,2.373654492263794,0.09204,2.3715913215637205,0.0955,-0.0034600000000000047,56.04118227958679
same_epochs,n_sam,,3,3,2.382157625579834,0.09346,2.3609531187438964,0.093,2.358602400970459,0.0935,-0.0005000000000000004,101.97806286811829
same_epochs,n_sam,,4,4,2.3693623233032226,0.09296,2.3702735725402833,0.09402,2.3679507537841795,0.0925,0.0015200000000000075,112.59630608558655
same_epochs,n_sam,,5,5,2.3764767861938476,0.09306,2.361487467956543,0.1003,2.359727757644653,0.0991,0.0012000000000000066,123.19446849822998
same_epochs,n_sam,,6,6,2.365017044830322,0.09992,2.3117813884735106,0.09726,2.3099316596984862,0.0994,-0.002140000000000003,165.6082649230957
same_epochs,n_sam,,7,7,2.3123478790283203,0.09896,2.3108354585266113,0.13238,2.309289524841309,0.1353,-0.002920000000000006,176.19363951683044
same_epochs,n_sam,,8,8,2.314001978302002,0.13196,2.3461330884552,0.1181,2.344973854827881,0.1148,0.0032999999999999974,221.9749777317047
same_epochs,n_sam,,9,9,2.350581766586304,0.12648,2.3566776625061037,0.11612,2.3554292053222654,0.1147,0.0014200000000000046,232.54856777191162
same_epochs,n_sam,,10,10,2.3629676557922363,0.1237,2.3304030260467528,0.15276,2.328701021194458,0.1533,-0.0005399999999999849,242.9795024394989
same_epochs,n_sam,,11,11,2.3395027793884275,0.1571,2.30541680229187,0.16616,2.3033488037109375,0.1692,-0.003039999999999987,285.62815165519714
same_epochs,n_sam,,12,12,2.3161328985595704,0.15262,2.2821753065490724,0.14898,2.2800858417510987,0.1552,-0.006220000000000003,296.3217453956604
same_epochs,n_sam,,13,13,2.291656641616821,0.13952,2.2620445295715332,0.13184,2.260337178039551,0.132,-0.00015999999999999348,342.05777740478516
same_epochs,n_sam,,14,14,2.2686158122253417,0.12864,2.2480661637878416,0.17256,2.246860102081299,0.1726,-4.000000000001225e-05,352.71054005622864
same_epochs,n_sam,,15,15,2.2522870193481443,0.16474,2.2559543585968016,0.12418,2.2551162628173826,0.1243,-0.00011999999999999511,363.30109119415283
same_epochs,n_sam,,16,16,2.2597941188812256,0.1223,2.2483632360076906,0.18028,2.2473816314697266,0.1834,-0.0031200000000000117,405.6049325466156
