comparison,method,m,epoch,update,train_loss_step,train_acc_step,train_eval_loss,train_eval_acc,test_loss,test_acc,generalization_gap,elapsed_sec
same_epochs,sgd,,1,391,1.795425571975708,0.33566,1.533639309463501,0.45182,1.5287175388336183,0.4532,-0.0013799999999999923,7.985783100128174
same_epochs,sgd,,2,782,1.522574246444702,0.4424,1.5154650009155273,0.4649,1.5209591451644897,0.4611,0.00379999999999997,14.905455827713013
same_epochs,sgd,,3,1173,1.3996360201263427,0.4902,1.3244507665252685,0.52042,1.3347948356628418,0.517,0.0034199999999999786,21.899232149124146
same_epochs,sgd,,4,1564,1.3157110158538818,0.52662,1.253332562828064,0.55662,1.267767691040039,0.5495,0.007120000000000015,28.885113954544067
same_epochs,sgd,,5,1955,1.2413726933670044,0.55224,1.1307992839050294,0.59428,1.153999195766449,0.587,0.007280000000000064,35.942591428756714
same_epochs,sgd,,6,2346,1.1792877850341796,0.57782,1.1165101837539673,0.6018,1.143650072479248,0.5927,0.009099999999999997,43.08123755455017
same_epochs,sgd,,7,2737,1.1338673956298828,0.59558,1.1534803130340576,0.60084,1.1799869787216186,0.5905,0.010340000000000016,50.20056700706482
same_epochs,sgd,,8,3128,1.0901261259460449,0.6124,1.0463496758651734,0.63076,1.0822877323150635,0.62,0.010759999999999992,57.174031496047974
same_epochs,sgd,,9,3519,1.061758801612854,0.62196,1.0183834712982178,0.64294,1.04873184299469,0.6325,0.010440000000000005,64.31748414039612
same_epochs,sgd,,10,3910,1.0341235856437683,0.63108,0.9464521880340576,0.6663,0.9812609539031982,0.6539,0.012399999999999967,71.4737958908081
same_epochs,sgd,,11,4301,1.001824435043335,0.64312,0.9754771738052368,0.6577,1.0233848656654358,0.6437,0.013999999999999901,78.70173597335815
same_epochs,sgd,,12,4692,0.9778396897125244,0.6541,0.930930832748413,0.66818,0.9801887558937072,0.6568,0.011379999999999946,85.61518049240112
same_epochs,sgd,,13,5083,0.9523980471801757,0.66116,0.929162294883728,0.6747,0.9860810692787171,0.6608,0.013899999999999912,94.58230257034302
same_epochs,sgd,,14,5474,0.9244454738235474,0.67284,0.8417441133880615,0.70232,0.9012144699096679,0.6746,0.027720000000000078,101.67374181747437
same_epochs,sgd,,15,5865,0.9042440103149414,0.67986,0.8329215054512024,0.70572,0.8937247343063355,0.6883,0.01741999999999999,110.2857141494751
same_epochs,sgd,,16,6256,0.8895208114242553,0.68356,0.8063379337310791,0.7145,0.8755782143592834,0.6905,0.02400000000000002,117.14951586723328
same_epochs,sgd,,17,6647,0.8758939701843261,0.68752,0.8205670014762878,0.71444,0.8881870958328247,0.6923,0.022139999999999938,124.37326860427856
same_epochs,sgd,,18,7038,0.8573523558235169,0.69678,0.8007880710601807,0.71372,0.8831522649765015,0.6861,0.027619999999999978,131.45247793197632
same_epochs,sgd,,19,7429,0.8421659172439575,0.70016,0.8336752994155884,0.70818,0.9142698988914489,0.682,0.02617999999999998,138.60439920425415
same_epochs,sgd,,20,7820,0.826841876411438,0.70784,0.7626783554077149,0.73004,0.85201156873703,0.7067,0.023340000000000027,145.74351859092712
same_epochs,sgd,,21,8211,0.8174443516159058,0.71084,0.8046187954330445,0.71898,0.8899355628967285,0.6929,0.026079999999999992,152.8867609500885
same_epochs,sgd,,22,8602,0.8053101749801636,0.71628,0.7482339032173156,0.73798,0.8352954698562622,0.7096,0.02837999999999996,159.9011504650116
same_epochs,sgd,,23,8993,0.7995839298629761,0.71822,0.7223987553405762,0.748,0.8197199956893921,0.7165,0.03149999999999997,166.89743638038635
same_epochs,sgd,,24,9384,0.7829657204818725,0.72432,0.7188018591499329,0.7492,0.8274061832427978,0.7134,0.03579999999999994,173.78852081298828
same_epochs,sgd,,25,9775,0.7662872924423217,0.73096,0.7125749831962586,0.749,0.8180436341285705,0.7195,0.02949999999999997,180.742737531662
same_epochs,sgd,,26,10166,0.7655127544021606,0.72898,0.710661774559021,0.74804,0.8156576266288758,0.7155,0.03254000000000001,188.9876058101654
same_epochs,sgd,,27,10557,0.7490083285522461,0.73582,0.6970209243583679,0.75242,0.8141027222633361,0.7132,0.03922000000000003,195.9730679988861
same_epochs,sgd,,28,10948,0.7393218101692199,0.7407,0.6698864705085754,0.76718,0.7812283593177796,0.7335,0.03367999999999993,203.13987469673157
same_epochs,sgd,,29,11339,0.726055022945404,0.74424,0.64738935962677,0.77262,0.7741591510772705,0.732,0.04061999999999999,210.23282384872437
same_epochs,sgd,,30,11730,0.7171852087783813,0.74718,0.6629942634773255,0.76786,0.79147234249115,0.7293,0.03856000000000004,217.34626698493958
