comparison,method,m,epoch,update,train_loss_step,train_acc_step,train_eval_loss,train_eval_acc,test_loss,test_acc,generalization_gap,elapsed_sec
same_updates,m_sam,32,,1,2.4618184566497803,0.0625,2.457469810409546,0.10254,2.455871480178833,0.0992,0.0033400000000000096,4.278994560241699
same_updates,m_sam,32,,2,2.4759459495544434,0.0625,2.4927701712799073,0.09294,2.490566221618652,0.0956,-0.0026600000000000096,7.576531887054443
same_updates,m_sam,32,,3,2.6337833404541016,0.03125,2.473764166107178,0.0912,2.471418294143677,0.09,0.0012000000000000066,10.810566663742065
same_updates,m_sam,32,,4,2.4431886672973633,0.125,2.435627498703003,0.0929,2.4340723861694338,0.0976,-0.00470000000000001,14.146610260009766
same_updates,m_sam,32,,5,2.4981346130371094,0.0625,2.3783545079803465,0.099,2.377636658859253,0.0974,0.0016000000000000042,17.40740728378296
same_updates,m_sam,32,,6,2.3317484855651855,0.0625,2.415509232330322,0.10174,2.4152652576446534,0.1017,3.999999999999837e-05,20.638089656829834
same_updates,m_sam,32,,7,2.5467474460601807,0.0,2.4714712828826904,0.10004,2.4705080169677736,0.1,3.999999999999837e-05,24.010288953781128
same_updates,m_sam,32,,8,2.348675489425659,0.15625,2.422015525741577,0.10156,2.4214883407592773,0.1005,0.0010599999999999915,27.24824595451355
same_updates,m_sam,32,,9,2.5272161960601807,0.125,2.3595328121185304,0.13822,2.3598056144714357,0.1337,0.004519999999999996,30.462265253067017
same_updates,m_sam,32,,10,2.42824649810791,0.15625,2.3698198091888427,0.12746,2.3703609745025633,0.1284,-0.0009399999999999964,33.768160820007324
same_updates,m_sam,32,,11,2.3470635414123535,0.1875,2.4448142918395996,0.1022,2.4451641220092775,0.1021,0.00010000000000000286,37.05300188064575
same_updates,m_sam,32,,12,2.6142265796661377,0.09375,2.4161037437438964,0.13252,2.4165899684906007,0.1328,-0.00028000000000000247,40.343878746032715
same_updates,m_sam,32,,13,2.3978748321533203,0.09375,2.429352136230469,0.1,2.42993341255188,0.0999,0.00010000000000000286,43.581334352493286
same_updates,m_sam,32,,14,2.475566864013672,0.09375,2.448874152069092,0.1,2.449408306121826,0.1,0.0,46.842403411865234
same_updates,m_sam,32,,15,2.397043228149414,0.21875,2.446871138305664,0.1,2.4471116310119627,0.1,0.0,50.11953067779541
same_updates,m_sam,32,,16,2.46852970123291,0.03125,2.408627094116211,0.1048,2.408903128814697,0.1044,0.0003999999999999976,53.41187000274658
same_updates,m_sam,32,,17,2.3009071350097656,0.1875,2.4620033359527587,0.09998,2.462296112251282,0.0995,0.0004799999999999943,56.71872878074646
same_updates,m_sam,32,,18,2.525390148162842,0.03125,2.455269966812134,0.1319,2.4558334785461424,0.1338,-0.0019000000000000128,60.018592834472656
same_updates,m_sam,32,,19,2.5237815380096436,0.09375,2.470914341506958,0.15338,2.4714100704193114,0.1526,0.0007799999999999752,63.25231337547302
same_updates,m_sam,32,,20,2.5318603515625,0.125,2.4882598653411865,0.13398,2.4885025871276856,0.1332,0.0007799999999999752,66.47856163978577
